nm_name,st_name_clean,st_name,nm_city,st_area,st_road,st_address,st_url,st_score,st_price,st_total_com,st_tag,longitude,latitude
東大門夜市,花蓮銅板燒干貝,花蓮銅板燒干貝,花蓮縣,花蓮市,,E38,"https://www.google.com/maps/place/%E8%8A%B1%E8%93%AE%E9%8A%85%E6%9D%BF%E7%87%92%E5%B9%B2%E8%B2%9D/@23.9719575,121.6080408,17z/data=!3m1!4b1!4m6!3m5!1s0x34689f0150190c5b:0xa50c5baef60a9afb!8m2!3d23.9719575!4d121.6106157!16s%2Fg%2F11pccygrtl?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.8,$200-400,603,"生蠔,cp值,扇貝,甜,座位,串,透明,生啤,食材,鮑魚",23.9719575,121.6106157
東大門夜市,花蓮東大門 阿蜜斯的小孩,花蓮東大門 阿蜜斯的小孩-馬告香腸,花蓮縣,花蓮市,,自強夜市E43攤,"https://www.google.com/maps/place/%E8%8A%B1%E8%93%AE%E6%9D%B1%E5%A4%A7%E9%96%80+%E9%98%BF%E8%9C%9C%E6%96%AF%E7%9A%84%E5%B0%8F%E5%AD%A9-%E9%A6%AC%E5%91%8A%E9%A6%99%E8%85%B8/@23.9717819,121.6077746,17z/data=!3m1!4b1!4m6!3m5!1s0x34689f95fb4ea15d:0x4bcbc68ba0c9fbdd!8m2!3d23.9717819!4d121.6103495!16s%2Fg%2F11r_tz6_m9?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",2.7,$1-200,25,"烤,大腸包小腸,豬肉,冷,米腸,盒子,臭,汁,夜市,卵",23.9717819,121.6103495
東大門夜市,呂記鮮果汁,呂記鮮果汁,花蓮縣,花蓮市,,花蓮縣,"https://www.google.com/maps/place/%E5%91%82%E8%A8%98%E9%AE%AE%E6%9E%9C%E6%B1%81/@23.9708894,121.6082186,17z/data=!3m1!4b1!4m6!3m5!1s0x34689febe41837bf:0xbac1c95733d205af!8m2!3d23.9708894!4d121.6107935!16s%2Fg%2F11f130t33v?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.0,$1-200,88,"價格,西瓜汁,木瓜牛奶,杯,甜,酪梨,夜市,鳳梨,綠豆,果糖",23.9708894,121.6107935
東大門夜市,東大門夜市茶坑小巷各省一條街G49號,東大門夜市茶坑小巷各省一條街G49號,花蓮縣,花蓮市,,茶坑,"https://www.google.com/maps/place/%E6%9D%B1%E5%A4%A7%E9%96%80%E5%A4%9C%E5%B8%82%E8%8C%B6%E5%9D%91%E5%B0%8F%E5%B7%B7%E5%90%84%E7%9C%81%E4%B8%80%E6%A2%9D%E8%A1%97G49%E8%99%9F/@23.9716101,121.6082994,17z/data=!3m1!4b1!4m6!3m5!1s0x34689fc54f7881b3:0x52f624d6c0ad25f7!8m2!3d23.9716101!4d121.6108743!16s%2Fg%2F11k45qss5t?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.9,$1-200,237,"珠珠,綠茶,冬瓜茶,檸檬,伯爵,百香,跌倒,泉,桔,烏龍茶",23.9716101,121.6108743
東大門夜市,大福雞排,大福雞排-花蓮東大門店,花蓮縣,花蓮市,,E75,"https://www.google.com/maps/place/%E5%A4%A7%E7%A6%8F%E9%9B%9E%E6%8E%92-%E8%8A%B1%E8%93%AE%E6%9D%B1%E5%A4%A7%E9%96%80%E5%BA%97/@23.9708869,121.6080459,17z/data=!3m1!4b1!4m6!3m5!1s0x34689f99b399b973:0x62cfce245d0e24b9!8m2!3d23.9708869!4d121.6106208!16s%2Fg%2F11rd_mtm08?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.2,$1-200,38,"炸,價格,汁,柴,雞腿,熱肉,辣粉,雞胸肉,醃,湯",23.9708869,121.6106208
東大門夜市,橙緣四季甜湯,橙緣四季甜湯,花蓮縣,花蓮市,,E67,"https://www.google.com/maps/place/%E6%A9%99%E7%B7%A3%E5%9B%9B%E5%AD%A3%E7%94%9C%E6%B9%AF/@23.9710174,121.608407,17z/data=!3m1!4b1!4m6!3m5!1s0x34689febd0f90e69:0x5453308bae51bb4c!8m2!3d23.9710174!4d121.6109819!16s%2Fg%2F11h9x4kw19?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.8,$1-200,47,"芋圓,地瓜,豆花,紅豆湯,仙草,夜市,粿,薏仁,牛奶,有嚼勁",23.9710174,121.6109819
東大門夜市,吉香炸蛋蔥油餅,吉香炸蛋蔥油餅(東大門自強夜市E39),花蓮縣,花蓮市,,E39吉香炸蛋蔥油餅,"https://www.google.com/maps/place/%E5%90%89%E9%A6%99%E7%82%B8%E8%9B%8B%E8%94%A5%E6%B2%B9%E9%A4%85(%E6%9D%B1%E5%A4%A7%E9%96%80%E8%87%AA%E5%BC%B7%E5%A4%9C%E5%B8%82E39)/@23.9719315,121.6080141,17z/data=!3m1!4b1!4m6!3m5!1s0x34689fe9654e25ff:0x12cb2c4f73bbb0ee!8m2!3d23.9719315!4d121.610589!16s%2Fg%2F11fzbv85q6?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.2,$1-200,116,"炸彈蔥油餅,香腸,九層塔,口感,半熟蛋,酥脆,價格,排隊,老麵包蛋馬鈴薯糕<藍車方正>,蛋黃",23.9719315,121.610589
東大門夜市,馬耀醬汁烤魷魚,馬耀醬汁烤魷魚,花蓮縣,花蓮市,,原住民D23,"https://www.google.com/maps/place/%E9%A6%AC%E8%80%80%E9%86%AC%E6%B1%81%E7%83%A4%E9%AD%B7%E9%AD%9A/@23.9718077,121.6093888,17z/data=!3m1!4b1!4m6!3m5!1s0x34689fc2d21516dd:0x6c49ff827e1fdde0!8m2!3d23.9718077!4d121.6119637!16s%2Fg%2F11swpdxg65?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.5,$1-200,19,"洋蔥,甜,價格,椒鹽,盒,辣醬,鮮,口",23.9718077,121.6119637
東大門夜市,馬告炒麵刈包,馬告炒麵刈包,花蓮縣,花蓮市,,D19攤位,"https://www.google.com/maps/place/%E9%A6%AC%E5%91%8A%E7%82%92%E9%BA%B5%E5%88%88%E5%8C%85/@23.9719096,121.6095437,17z/data=!3m1!4b1!4m6!3m5!1s0x34689fe9709ed9dd:0x45333a47fc7f25e6!8m2!3d23.9719096!4d121.6121186!16s%2Fg%2F11g9nh1rw8?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",3.5,$1-200,153,"口味,黑胡椒,燒肉,價格,小黃瓜,口感,蘑菇,夜市,板麵,美食",23.9719096,121.6121186
東大門夜市,哦一夕海鮮串燒燒烤,哦一夕海鮮串燒燒烤,花蓮縣,花蓮市,,D30,"https://www.google.com/maps/place/%E5%93%A6%E4%B8%80%E5%A4%95%E6%B5%B7%E9%AE%AE%E4%B8%B2%E7%87%92%E7%87%92%E7%83%A4/@23.9716841,121.6078196,17z/data=!3m1!4b1!4m6!3m5!1s0x34689f298a6887bb:0x626cb3e46afc4ddc!8m2!3d23.9716841!4d121.6103945!16s%2Fg%2F11n37c3ckj?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",4.3,,371,"餐,生蠔,生魚片,cp值,夜市,菜,壽司,干貝,啤酒,蒜蓉",23.9716841,121.6103945
